kabupaten_id,bencana_id,tanggal,korban_meninggal,korban_hilang,korban_luka,korban_mengungsi
1302,1,25/10/2011,0,0,0,0
1302,1,1/9/2011,0,0,0,0
1302,1,12/7/2011,0,0,0,0
1302,1,1/6/2011,0,0,0,0
1303,1,7/2/2016,0,0,0,0
1303,1,31/10/2014,0,0,0,0
1303,1,25/10/2012,0,0,0,0
1303,1,27/11/2011,0,0,0,160
1303,1,24/4/2011,0,0,0,0
1304,1,7/1/2016,0,0,0,24
1304,1,7/5/2015,0,0,0,0
1304,1,3/5/2013,0,0,0,750
1304,1,31/10/2012,0,0,0,60
1305,1,8/12/2012,0,0,0,0
1305,1,19/11/2012,0,0,0,0
1305,1,23/10/2012,0,0,0,0
1305,1,26/2/2012,0,0,0,85
1306,1,17/6/2016,0,0,0,0
1306,1,16/6/2016,0,0,0,125
1306,1,11/4/2016,0,0,0,0
1306,1,22/3/2016,0,0,0,0
1306,1,22/3/2016,0,1,0,0
1306,1,8/6/2015,0,0,0,0
1306,1,1/1/2013,0,0,0,0
1306,1,1/12/2012,0,0,0,0
1306,1,24/7/2012,0,0,0,0
1306,1,29/2/2012,0,0,0,50
1307,1,21/11/2015,0,0,0,0
1307,1,16/10/2015,1,0,8,0
1307,1,12/6/2015,0,0,0,0
1307,1,13/11/2014,0,0,0,0
1307,1,1/9/2013,0,0,0,0
1307,1,25/3/2013,0,0,0,0
1307,1,1/12/2012,0,0,0,0
1307,1,1/9/2011,0,0,0,0
1308,1,7/2/2016,0,1,0,0
1308,1,14/1/2016,0,0,0,0
1308,1,29/11/2015,0,0,0,0
1308,1,29/11/2015,0,0,0,0
1308,1,26/11/2015,0,0,0,0
1308,1,25/11/2015,0,0,0,0
1308,1,1/1/2013,0,0,0,0
1308,1,7/12/2012,0,0,0,0
1308,1,1/11/2012,0,0,0,0
1308,1,1/10/2012,0,0,0,0
1308,1,1/5/2011,0,0,0,0
1308,1,28/1/2011,0,0,0,0
1309,1,20/3/2016,0,0,0,0
1309,1,7/2/2016,0,0,0,500
1309,1,7/2/2016,0,0,0,500
1309,1,14/1/2016,0,0,0,0
1309,1,15/12/2015,0,0,0,1000
1309,1,16/11/2015,0,0,0,0
1309,1,24/11/2014,0,0,0,0
1309,1,13/11/2014,1,0,0,0
1309,1,7/12/2013,2,0,0,0
1309,1,31/8/2013,0,0,0,5
1309,1,15/2/2013,0,0,0,0
1309,1,24/12/2012,0,0,0,15
1309,1,1/11/2012,0,0,0,0
1309,1,22/2/2012,0,1,3,1000
1309,1,1/3/2011,0,0,0,0
1310,1,8/2/2016,0,0,0,0
1310,1,30/12/2015,0,0,0,0
1310,1,1/1/2013,0,0,0,0
1310,1,14/12/2012,1,1,0,3675
1310,1,31/10/2012,0,0,0,0
1310,1,30/10/2012,0,0,0,0
1310,1,1/4/2012,0,0,0,0
1311,1,8/2/2016,0,0,0,0
1311,1,28/1/2016,0,0,0,0
1311,1,1/1/2013,0,0,0,0
1312,1,12/6/2015,0,0,0,0
1312,1,25/8/2014,0,0,0,0
1312,1,1/1/2013,0,0,0,0
1312,1,30/12/2012,0,0,0,60
1312,1,11/12/2012,0,0,1,0
1312,1,12/11/2012,0,0,0,80
1312,1,1/3/2012,0,0,0,0
1312,1,1/2/2012,0,0,0,0
1312,1,5/11/2011,0,0,0,0
1371,1,16/6/2016,1,3,0,0
